sample	type	UAR	Z
N265	N	8.369707546	0.227711784
N266	N	8.364037216	1.002999895
N267	N	8.341359675	0.471222691
N268	N	8.345409011	1.02392606
N269	N	8.434898041	1.44848054
N270	N	8.351569818	0.48477235
N271	N	8.385915428	1.164584966
N272	N	8.352981795	0.949431621
N273	N	8.360528443	0.429309142
N274	N	8.406113045	1.01333442
N275	N	8.326084559	0.438845041
N276	N	8.369666038	1.009009715
N277	N	8.368783655	0.576326132
N278	N	8.365421927	0.265257948
N279	N	8.331769126	0.29510349
N280	N	8.384197622	1.257084691
N281	N	8.38679468	0.990942424
N282	N	8.374652573	0.451387802
N283	N	8.345646589	0.340842398
N284	N	8.328437764	-0.3205251
N285	N	8.38041833	0.83580448
N286	N	8.395911336	0.965649784
N287	N	8.372369121	0.794188628
N288	N	8.362822789	0.815354908
N289	N	8.3264864	-0.539657213
N290	N	8.3691351	0.311456942
N291	N	8.363258732	1.015796932
N292	N	8.340434333	0.0
N293	N	8.329764859	-0.132377224
N294	N	8.360695135	0.660249889
N295	N	8.371706417	0.839135115
N296	N	8.390772103	1.753192075
N297	N	8.377143547	1.188827498
N298	N	8.36066473	0.72713983
N299	N	8.347104941	0.0
N300	N	8.382903959	1.203647319
N301	N	8.374360173	0.973630163
N302	N	8.395110734	1.138927857
N303	N	8.34946312	1.088868966
N304	N	8.337253382	0.356086004
N305	N	8.33062007	-0.324845399
N306	N	8.338870662	0.590623015
N307	N	8.352822438	0.390098397
N308	N	8.330594667	0.539495278
N309	N	8.34378085	0.004111417
N310	N	8.360976173	0.83599908
N311	N	8.385018755	0.929591648
N312	N	8.365949511	1.23249378
N313	N	8.358870955	1.03924182
N314	N	8.39284941	0.93868037
N315	N	8.342756173	0.02603337
N316	N	8.39371383	0.734703994
N317	N	8.375058076	0.891213923
N318	N	8.371524955	1.104379664
N319	N	8.337102876	0.103636318
N320	N	8.318632931	0.0
N321	N	8.347579287	0.978920487
N322	N	8.365293259	0.468666614
N323	N	8.385632783	1.345256774
N324	N	8.355721496	0.263261926
N325	N	8.407228918	0.85803911
N326	N	8.369905625	0.402018375
N327	N	8.333364502	0.416333839
N328	N	8.356014007	0.650839705
N329	N	8.355100377	0.019041643
N330	N	8.342804996	0.475706939
N331	N	8.384024601	1.010006068
N332	N	8.319638232	0.0
N333	N	8.323123148	0.0
N334	N	8.375600755	0.540429043
N335	N	8.33311665	0.309820012
N336	N	8.351629821	0.681880486
N337	N	8.367106286	1.556388575
N338	N	8.367015959	0.708396544
N339	N	8.348330907	0.051729818
N340	N	8.372716262	0.125465635
N341	N	8.318272971	0.127123511
N342	N	8.342957547	-0.212358099
N343	N	8.325684221	0.0
N344	N	8.387856391	0.993954994
N345	N	8.355922682	0.273248594
N346	N	8.325000736	-0.286104311
N347	N	8.358964572	1.488470259
N348	N	8.385836147	1.339786061
N349	N	8.367160342	0.886911326
N350	N	8.353656527	0.393864152
N351	N	8.367561731	0.779957676
N352	N	8.375231966	1.198135906
N353	N	8.355566298	0.374863506
N354	N	8.37677505	1.09408643
N355	N	8.34745106	0.902782217
N356	N	8.347031766	-0.150243887
N357	N	8.33128477	0.192570749
N358	N	8.36343899	0.787507454
N359	N	8.38066166	1.17830602
N360	N	8.343198013	0.0
N361	N	8.371915953	0.0
N362	N	8.350939498	0.293459857
N363	N	8.347176216	0.106932281
N364	N	8.352342949	-0.006012003
N365	N	8.367923657	0.407244056
N366	N	8.367172436	1.505313459
N367	N	8.329267511	-0.055206933
N368	N	8.371257294	0.134163056
N369	N	8.378361806	1.373353442
N370	N	8.320952442	0.198546648
N371	N	8.370593257	0.650191009
N372	N	8.39683653	1.68947127
N373	N	8.334933918	0.103292916
N374	N	8.305947935	-0.358563768
N375	N	8.3465879	0.272017472
N376	N	8.332158567	0.0
N377	N	8.405868934	1.369350213
N378	N	8.32058678	-0.088684306
N379	N	8.360549559	0.940833567
N380	N	8.349619478	0.571289426
N381	N	8.372808592	1.437064538
N382	N	8.324203466	-0.218405084
N383	N	8.39389395	1.084451675
N384	N	8.332545533	-0.756806696
