Sample	type	UAR	Z
N2843	XX	5.164777129	-6.013900966
N2844	XX	5.31034662	-2.301579401
N2845	XX	5.333340222	-1.862588826
N2846	XX	5.410246041	0.320317031
N2847	XX	5.011811541	-9.720547827
N2848	XX	5.241131103	-1.982717867
N2849	XX	5.112257484	-4.601739313
N2850	XX	5.359392743	-1.100797431
N2851	XX	5.433180808	0.373710564
N2852	XX	5.515490766	0.524484338
N2853	XX	5.178704308	-4.213853523
N2854	XX	5.265233372	-3.243466915
N2855	XX	5.299626754	-0.538697242
N2856	XX	5.190315908	-4.453493138
N2857	XX	5.359211417	-0.380663302
N2858	XX	5.323702186	-1.447848283
N2859	XX	5.375443319	-0.279720194
N2860	XX	5.191886179	-3.204943834
N2861	XX	5.177989014	-3.292457392
N2862	XX	5.350097305	-1.235224749
N2863	XX	5.222239322	-3.05742079
N2864	XX	5.390243707	-1.141035984
N2865	XX	5.237858993	-1.530242035
N2866	XX	5.22545513	-2.590560467
N2867	XX	5.400735845	-0.448974776
N2868	XX	5.371022014	-0.432852947
N2869	XX	5.213796227	-4.033329895
N2870	XX	5.365917188	-0.728481719
N2871	XX	5.358550131	-0.580160071
N2872	XX	5.380541021	-0.401523445
N2873	XX	5.339944399	-1.096255382
N2874	XX	5.310736644	-0.256696859
N2875	XX	4.955949351	-3.488166189
N2876	XX	5.277146704	-3.927908849
N2877	XX	5.069245786	-4.672022958
N2878	XX	5.336166592	-0.801211949
N2879	XX	5.282120042	-2.092779294
N2880	XX	5.649283666	2.279878207
N2881	XX	5.23767503	-3.061856834
N2882	XX	5.390748782	-0.33985614
N2883	XX	5.211496253	-1.784870409
N2884	XX	5.409207453	-0.238225863
N2885	XX	5.397468348	-0.423666516
N2886	XX	5.403102361	0.461796561
N2887	XX	5.395918669	-0.64816168
N2888	XX	5.366763631	-0.300293986
N2889	XX	5.36065381	-1.572166782
N2890	XX	5.155798995	-1.898576272
N2891	XX	5.407610253	-0.423113056
N2892	XX	5.408580363	-0.189457305
N2893	XX	5.216650802	-2.363770297
N2894	XX	5.380956459	0.188445008
N2895	XX	5.3752171	0.329369484
N2896	XX	5.347295218	-0.629466445
N2897	XX	5.294175871	-1.403148571
N2898	XX	5.372882352	0.008039926
N2899	XX	5.19207863	-4.958213259
N2900	XX	5.086494896	-2.780549752
N2901	XX	5.030244095	-5.988658078
N2902	XX	5.359312927	-0.645148744
N2903	XX	5.248690013	-2.333711588
N2904	XX	5.303271973	-1.706926589
N2905	XX	5.227195782	-1.708045313
N2906	XX	5.38213976	0.396440538
N2907	XX	5.201741089	-2.738428488
N2908	XX	5.408031244	-0.020446009
N2909	XX	5.24189693	-1.917309455
N2910	XX	5.458754871	0.479763202
N2911	XX	5.318657401	-1.556604591
N2912	XX	5.37829957	-0.641455041
N2913	XX	5.25982261	-2.509161347
N2914	XX	5.38293937	-1.292781814
N2915	XX	5.226893378	-2.792295682
N2916	XX	5.183366214	-4.350226024
N2917	XX	5.342472658	-0.843441481
N2918	XX	5.328104552	-1.65556291
N2919	XX	5.354756876	-0.810970808
