Sample	type	UAR	Z
N322	XX	5.232357295	-3.848378864
N323	XX	5.260920994	-2.734909715
N324	XX	5.241686239	-4.360318446
N325	XX	5.221511774	-5.374826964
N326	XX	5.287159524	-2.723080843
N327	XX	5.225530064	-4.506254472
N328	XX	5.197183904	-4.315602661
N329	XX	5.219446108	-3.511550114
N330	XX	5.286076354	-1.928368021
N331	XX	5.377803478	-0.867707602
N332	XX	5.264914557	-2.603363081
N333	XX	5.216390693	-3.833952924
N334	XX	5.224264578	-4.291711829
N335	XX	5.277656987	-2.684013239
N336	XX	5.198683356	-3.648650139
N337	XX	5.217304019	-3.131803091
N338	XX	5.201657024	-4.462916607
N339	XX	5.243970221	-3.43181537
N340	XX	5.208590101	-3.135647655
N341	XX	5.253057754	-4.450765852
N342	XX	5.304736491	-2.710300006
N343	XX	5.265921157	-1.879760799
N344	XX	5.222464245	-6.635627487
N345	XX	5.154344609	-6.934445005
N346	XX	5.224895254	-3.482159047
N347	XX	5.249419263	-2.711296775
N348	XX	5.277794412	-2.41623291
N349	XX	5.225030162	-3.883710247
N350	XX	5.283857874	-2.473881009
N351	XX	5.241776002	-2.921415783
N352	XX	5.236011287	-4.282086692
N353	XX	5.221503504	-4.861579861
N354	XX	5.242234652	-2.600476124
N355	XX	5.215241274	-3.41995904
N356	XX	5.234809678	-3.357082744
N357	XX	5.237626716	-4.097667935
N358	XX	5.204334014	-4.78582235
N359	XX	5.243093463	-4.278793676
N360	XX	5.218683952	-3.448700925
N361	XX	5.240165201	-4.277209285
N362	XX	5.270930145	-4.299859491
N363	XX	5.220397761	-4.555767935
N364	XX	5.226295666	-4.466094852
N365	XX	5.21344106	-3.986447376
N366	XX	5.288182111	-3.700743774
N367	XX	5.247441032	-3.0699424
N368	XX	5.285024588	-4.916056676
N369	XX	5.230721571	-3.477043023
N370	XX	5.24398563	-3.087377663
N371	XX	5.185108927	-4.792996202
N372	XX	5.244598629	-4.27570288
N373	XX	5.217069856	-4.593497709
N374	XX	5.259947886	-3.203500828
N375	XX	5.203932544	-3.904559682
N376	XX	5.203781043	-5.408567411
N377	XX	5.220265022	-4.518429022
N378	XX	5.237927044	-6.776636512
N379	XX	5.242396566	-3.452115569
N380	XX	5.244791738	-3.882773289
N381	XX	5.236858716	-4.028943827
N382	XX	5.224051064	-3.366923746
N383	XX	5.195694876	-4.125811925
N384	XX	5.289007573	-1.461727873
N385	XX	5.232820138	-4.53614377
N386	XX	5.213222699	-4.695907008
N387	XX	5.222922514	-3.824026705
N388	XX	5.267831067	-4.211190862
N389	XX	5.262744435	-2.932541535
N390	XX	5.241215504	-4.131709465
N391	XX	5.227968432	-4.144424945
N392	XX	5.202407901	-3.835041571
N393	XX	5.260540671	-3.433254258
N394	XX	5.268202021	-4.076941044
N395	XX	5.213079338	-5.174620817
N396	XX	5.249325144	-4.110287281
N397	XX	5.238427097	-3.16774611
N398	XX	5.221947576	-4.255038149
N399	XX	5.15916522	-5.07378201
N400	XX	5.261698476	-2.845432162
N401	XX	5.247089946	-3.749241036
N402	XX	5.261836865	-3.024650671
N403	XX	5.248982338	-2.91587243
N404	XX	5.242365176	-4.231757803
N405	XX	5.283010068	-2.444245583
N406	XX	5.301883125	-2.33439099
N407	XX	5.229493554	-3.811242512
N408	XX	5.281734742	-2.378548548
N409	XX	5.252912118	-3.627292225
N410	XX	5.248014337	-2.916097956
N411	XX	5.254422877	-2.696832799
N412	XX	5.248869057	-2.913739106
N413	XX	5.215365053	-2.732641529
N414	XX	5.215099949	-2.966128915
N415	XX	5.286630393	-3.345822858
N416	XX	5.239795079	-4.138893128
N417	XX	5.208935919	-6.671610737
N418	XX	5.204691778	-3.771770386
N419	XX	5.236599748	-4.254374846
N420	XX	5.218192046	-3.270757647
N421	XX	5.251683234	-3.505107426
N422	XX	5.181553831	-4.063315684
N423	XX	5.231146042	-4.407662456
N424	XX	5.272799871	-2.657832688
N425	XX	5.248774079	-3.784468326
N426	XX	5.214197235	-3.104317299
N427	XX	5.260091698	-3.613331106
N428	XX	5.233341201	-3.445741465
N429	XX	5.258123172	-3.413414288
N430	XX	5.263845177	-3.135949639
N431	XX	5.194395831	-5.109487444
N432	XX	5.236080172	-4.565915812
N433	XX	5.218191292	-2.409563502
N434	XX	5.262025326	-2.472849954
